Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Imrul Kayes,Bangladesh,13.90%,3,3,0,1,0,0,93,102,69.86,34.00,2,0,0780,Home,73
Tamim Iqbal,Bangladesh,13.49%,3,3,0,1,0,0,62,99,87.61,33.00,0,0,0780,Home,73
Shakib Al Hasan,Bangladesh,9.40%,3,3,0,1,0,0,51,69,55.65,23.00,0,0,0780,Home,73
White C L,Australia,2.32%,1,1,0,0,0,0,20,20,40.00,20.00,0,0,0780,Away,73
Suhrawadi Shuvo,Bangladesh,2.59%,3,2,1,0,0,0,16,19,73.08,19.00,1,0,0780,Home,73
Alok Kapali,Bangladesh,1.77%,1,1,0,0,0,0,13,13,76.47,13.00,1,0,0780,Home,73
Haddin B J,Australia,2.09%,2,2,0,0,0,0,10,18,60.00,9.00,1,0,0780,Away,73
Paine T D,Australia,0.81%,1,1,0,0,0,0,7,7,87.50,7.00,1,0,0780,Away,73
Raqibul Hasan,Bangladesh,0.95%,2,2,0,0,0,1,7,7,28.00,3.50,0,0,0780,Home,73
Ferguson C J,Australia,0.35%,2,1,0,0,0,0,3,3,50.00,3.00,0,0,0780,Away,73
Smith S P D,Australia,0.70%,3,2,0,0,0,0,5,6,50.00,3.00,4,0,0780,Away,73
Shafiul Islam,Bangladesh,1.23%,3,1,1,0,0,0,9*,9,128.57,-,0,0,0780,Home,73
Hastings J W,Australia,2.43%,3,2,2,0,0,0,21*,21,233.33,-,0,0,0780,Away,73
Doherty X J,Australia,0.23%,3,1,1,0,0,0,2*,2,100.00,-,1,0,0780,Away,73
Pattinson J L,Australia,,1,0,0,0,0,0,-,0,-,-,1,0,0780,Away,73
Rubel Hossain,Bangladesh,,1,0,0,0,0,0,-,0,-,-,0,0,0780,Home,73
Mashrafe Mortaza,Bangladesh,,2,0,0,0,0,0,-,0,-,-,0,0,0780,Home,73
Lee B,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0780,Away,73
Abdur Razzak,Bangladesh,,3,0,0,0,0,0,-,0,-,-,0,0,0780,Home,73
Edrich J H,England,43.16%,1,1,0,1,0,0,82,82,68.91,82.00,0,0,0193,Away,01
Chappell I M,Australia,31.41%,1,1,0,1,0,0,60,60,58.25,60.00,0,0,0193,Home,01
Walters K D,Australia,21.47%,1,1,0,0,0,0,41,41,80.39,41.00,1,0,0193,Home,01
Lawry W M,Australia,14.14%,1,1,0,0,0,0,27,27,55.10,27.00,1,0,0193,Home,01
Fletcher K W R,England,12.63%,1,1,0,0,0,0,24,24,51.06,24.00,0,0,0193,Away,01
Knott A P E,England,12.63%,1,1,0,0,0,0,24,24,77.42,24.00,2,1,0193,Away,01
D'Oliveira B L,England,8.95%,1,1,0,0,0,0,17,17,106.25,17.00,0,0,0193,Away,01
Stackpole K R,Australia,6.81%,1,1,0,0,0,0,13,13,86.67,13.00,0,0,0193,Home,01
Redpath I R,Australia,6.28%,1,1,0,0,0,0,12,12,85.71,12.00,1,0,0193,Home,01
Hampshire J H,England,5.26%,1,1,0,0,0,0,10,10,76.92,10.00,0,0,0193,Away,01
Boycott G,England,4.21%,1,1,0,0,0,0,8,8,21.62,8.00,0,0,0193,Away,01
Shuttleworth K,England,3.68%,1,1,0,0,0,0,7,7,36.84,7.00,1,0,0193,Away,01
Snow J A,England,1.05%,1,1,0,0,0,0,2,2,12.50,2.00,0,0,0193,Away,01
Cowdrey M C,England,0.53%,1,1,0,0,0,0,1,1,20.00,1.00,0,0,0193,Away,01
Illingworth R,England,0.53%,1,1,0,0,0,0,1,1,14.29,1.00,0,0,0193,Away,01
Chappell G S,Australia,11.52%,1,1,1,0,0,0,22*,22,75.86,-,1,0,0193,Home,01
Connolly A N,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0193,Home,01
Lever P,England,2.11%,1,1,1,0,0,0,4*,4,66.67,-,0,0,0193,Away,01
Mallett A A,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0193,Home,01
Marsh R W,Australia,5.24%,1,1,1,0,0,0,10*,10,55.56,-,1,0,0193,Home,01
McKenzie G D,Australia,,1,0,0,0,0,0,-,0,-,-,1,0,0193,Home,01
Thomson A L,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0193,Home,01
Amiss D L,England,26.17%,3,3,0,0,1,0,103,168,65.12,56.00,0,0,0194,Home,03
Greig A W,England,8.57%,3,2,1,0,0,0,31,55,72.37,55.00,0,0,0194,Home,03
Stackpole K R,Australia,23.40%,3,3,0,2,0,0,61,150,54.35,50.00,1,0,0194,Away,03
Fletcher K W R,England,17.76%,3,3,0,1,0,0,60,114,58.16,38.00,0,0,0194,Home,03
Hampshire J H,England,5.92%,2,2,1,0,0,0,25*,38,52.05,38.00,0,0,0194,Home,03
Chappell G S,Australia,15.76%,3,3,0,0,0,0,48,101,60.84,33.67,0,0,0194,Away,03
Chappell I M,Australia,13.57%,3,3,0,1,0,0,53,87,62.14,29.00,1,0,0194,Away,03
Knott A P E,England,8.72%,3,2,0,1,0,0,50,56,87.50,28.00,3,0,0194,Home,03
Sheahan A P,Australia,11.70%,3,3,0,1,0,0,50,75,60.48,25.00,0,0,0194,Away,03
Boycott G,England,11.53%,3,3,0,0,0,0,41,74,54.41,24.67,0,0,0194,Home,03
